"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2015 August","Petrol - unleaded per litre","Euro","1.428"
"National Average Price","2015 September","Diesel per litre","Euro","1.219"
"National Average Price","2015 September","Petrol - unleaded per litre","Euro","1.365"
"National Average Price","2015 October","Diesel per litre","Euro","1.194"
"National Average Price","2015 October","Petrol - unleaded per litre","Euro","1.324"
"National Average Price","2015 November","Diesel per litre","Euro","1.198"
"National Average Price","2015 November","Petrol - unleaded per litre","Euro","1.314"
"National Average Price","2015 December","Diesel per litre","Euro","1.187"
"National Average Price","2015 December","Petrol - unleaded per litre","Euro","1.302"
"National Average Price","2016 January","Diesel per litre","Euro","1.123"
"National Average Price","2016 January","Petrol - unleaded per litre","Euro","1.257"
"National Average Price","2016 February","Diesel per litre","Euro","1.057"
"National Average Price","2016 February","Petrol - unleaded per litre","Euro","1.218"
"National Average Price","2016 March","Diesel per litre","Euro","1.07"
"National Average Price","2016 March","Petrol - unleaded per litre","Euro","1.21"
"National Average Price","2016 April","Diesel per litre","Euro","1.109"
"National Average Price","2016 April","Petrol - unleaded per litre","Euro","1.262"
"National Average Price","2016 May","Diesel per litre","Euro","1.13"
"National Average Price","2016 May","Petrol - unleaded per litre","Euro","1.291"
"National Average Price","2016 June","Diesel per litre","Euro","1.173"
"National Average Price","2016 June","Petrol - unleaded per litre","Euro","1.329"
"National Average Price","2016 July","Diesel per litre","Euro","1.163"
"National Average Price","2016 July","Petrol - unleaded per litre","Euro","1.313"
"National Average Price","2016 August","Diesel per litre","Euro","1.138"
"National Average Price","2016 August","Petrol - unleaded per litre","Euro","1.275"
"National Average Price","2016 September","Diesel per litre","Euro","1.163"
"National Average Price","2016 September","Petrol - unleaded per litre","Euro","1.282"
"National Average Price","2016 October","Diesel per litre","Euro","1.19"
"National Average Price","2016 October","Petrol - unleaded per litre","Euro","1.299"
"National Average Price","2016 November","Diesel per litre","Euro","1.207"
"National Average Price","2016 November","Petrol - unleaded per litre","Euro","1.306"
"National Average Price","2016 December","Diesel per litre","Euro","1.229"
"National Average Price","2016 December","Petrol - unleaded per litre","Euro","1.325"
"National Average Price","2017 January","Diesel per litre","Euro","1.271"
"National Average Price","2017 January","Petrol - unleaded per litre","Euro","1.366"
